,NAME,Type,GEOCODE_INPUT,LAT,LNG
74,CMEI KÁTIA FAGUNDES GARCIA,KGAR,"RUA PROFESSORA ANA DJANIRA, 1960, NATAL-RN",-26.248094,-53.645201
75,CMEI MARIA CELONI CAMPOS,KGAR,"RUA BAIA FORMOSÁ, 1517, NATAL-RN",-27.174331,-53.712419
76,CMEI MOEMA TINOCO DA CUNHA LIMA,KGAR,"RUA JACUI, 217, NATAL-RN",-26.135147,-50.387086
77,CMEI PROFA ANTÔNIA FERNANDA JALLES,KGAR,"RUA RIO SUASSUI, 7701, NATAL-RN",-27.1583864,-53.0772884
78,CMEI PROFA CARMEM MARIA REIS,KGAR,"RUA JOÃO DE DEUS DE LIMA, , NATAL-RN",-27.080038,-53.005361
79,CMEI PROFA LIBÂNIA MEDEIROS,KGAR,"AV. SÃO MIGUEL DOS CARIBES, 4334, NATAL-RN",-28.637520,-49.499023
80,CMEI PROFA Mª DOS MARTIRIOS LISBOA DE MENEZES,KGAR,"RUA ENGENHEIRO JOAQUIM CARDOSO, 2020, NATAL-RN",-28.642368,-49.482456
81,CMEI PROFA MARIA EUNICE DAVIM,KGAR,"RUA SOBRALIA, S/N, NATAL-RN",-28.637106,-49.497269
82,CMEI PROFA MARIA LUIZA SANTOS DE SOUZA,KGAR,"JANDAIA, 8075, NATAL-RN",-28.4815197,-49.00408849
83,CMEI VILMA TEIXEIRA DOURADO DUTRA,KGAR,"RUA DOS AMARANTOS, 156, NATAL-RN",-28.4920399,-49.0158819
84,CMEI AMOR DE MÃE,KGAR,"RUA FELICIANO DIAS, 239, NATAL-RN",-28.653462,-49.369108
85,CMEI CLARA CAMARÃO,KGAR,"RUA JAGUARARI, 1122, NATAL-RN",-28.681551,-49.350002
86,CMEI PROFA CLAUDIA OLIVEIRA DE FARIAS,KGAR,"RUA ESPLANADA SILVA JARDIM, 169, NATAL-RN",-28.6706779,-49.4158766
87,CMEI PROFA DARILENE BRANDÃO MARTINS,KGAR,"RUA AGOSTINHO LEITÃO, 322, NATAL-RN",-28.691845,-49.386844
88,CMEI GALDINA BARBOSÁ SILVEIRA GUIMARÃES,KGAR,"RUA JOÃO XXIII, 1565, NATAL-RN",-28.604902,-48.815488
89,CMEI JOSÉ ALVES SOBRINHO,KGAR,"RUA JÚLIO GOMES MOREIRA, 876, NATAL-RN",-28.483872,-48.780639
90,CMEI MARIA EULALIA GOMES DA SILVA,KGAR,"RUA NOSSA SENHORA APARECIDA, 40, NATAL-RN",-28.4856026,-48.7665005
91,CMEI NOSSA SENHORA DE LOURDES,KGAR,"RUA JOÃO XXIII, 1215, NATAL-RN",-28.358337,-49.276297
92,CMEI PADRE JOÃO PERESTRELLO,KGAR,"RUA JOÃO XXIII, 729, NATAL-RN",-28.126438,-48.648550
93,CMEI PROFA VILMA MARIA DE FARIA,KGAR,"RUA MARCOS CAVALCANTE, 585, NATAL-RN",-28.325388,-49.065291
94,CMEI BOM SÁMARITANO,KGAR,"RUA PASTOR JOSINO GALVAO, 102, NATAL-RN",-28.598405,-49.4247743
95,CMEI CARMEM FERNANDES PEDROZA,KGAR,"RUA JERUSÁLEM, 115, NATAL-RN",-28.610056,-49.559523
96,CMEI CLEA BEZERRA DE MELO,KGAR,"AV NSRA DO LIVRAMENTO, 31, NATAL-RN",-29.325814,-49.721563
97,CMEI DRA ZILDA ARNS,KGAR,"AV. INDUSTRIAL JOÃO FRANCISCO DA MOTTA, 45, NATAL-RN",-28.87495899999999,-49.4629061
98,CMEI FREI DAMIÃO,KGAR,"RUA PEDRINHO BEZERRA, 1185, NATAL-RN",-29.125411,-50.101485
99,CMEI IRMA DULCE,KGAR,"AV PERNAMBUCO, , NATAL-RN",-28.934703,-49.362585
100,CMEI JESIEL FIGUEIREDO,KGAR,"RUA HERMITA CANSÁCAO, , NATAL-RN",-27.002712,-51.401971
101,CMEI JESUS BOM PASTOR,KGAR,"SOLANGE NUNES DO NASCIMENTO, 56, NATAL-RN",-27.000235,-51.405755
102,CMEI JOSÉ ALENCAR GOMES DA SILVA,KGAR,"RUA DOS PAIANAZES, 455, NATAL-RN",-27.169956,-51.502801
103,CMEI MISSIONARIO ODILON DOS SANTOS,KGAR,"RUA SÃO NICOLAU, 1977, NATAL-RN",-27.278502,-52.334842
104,CMEI NOSSA SENHORA DE FÁTIMA,KGAR,"RUA IJUI, 375, NATAL-RN",-27.275043,-52.338141
105,CMEI NOSSA SENHORA AUXILIADORA,KGAR,"RUA ALFREDO EDELTRUDES, 30, NATAL-RN",-27.2930858,-52.1047
106,CMEI NOSSA SENHORA DE SANTANA,KGAR,"Rua Alfredo Edeltrudes, 2300, NATAL-RN",-26.772664,-51.016129
107,CMEI PROF ARNALDO ARSENIO DE AZEVEDO,KGAR,"TRAVESSÁ TREZE DE MAIO, , NATAL-RN",-26.775374,-51.013478
108,CMEI PROFA ELAINE DO NASCIMENTO LOPES,KGAR,"AVENIDA DOS CAICOS, 16, NATAL-RN",-26.776603,-51.019640
109,CMEI PROFA FRANCISCA ANASTACIA DE SOUTO,KGAR,"DOS PAIATIS, 2002, NATAL-RN",-27.0270532,-50.9245042
110,CMEI PROFA MARIA DO SOCORRO LIMA,KGAR,"RUA CLAUDIONOR FIGUEIREDO, 1797, NATAL-RN",-27.0198825,-50.9242517
111,CMEI PROFA MARIA ILKA SOARES DA SILVA,KGAR,"AVENIDA SOLANGE NUNES DO NASCIMENTO, 297, NATAL-RN",-27.223084,-50.739212
112,CMEI PROFA MARIA ITACIRA BENTO,KGAR,"RUA ABREULANDIA, 238, NATAL-RN",-27.419687,-51.776917
113,CMEI PROFA MARIA SÁLETE ALVES BILA,KGAR,"RUA DA LAGOA SECA, , NATAL-RN",-27.425881,-51.784645
114,CMEI PROFA MARILANDA BEZERRA DE PAIVA,KGAR,"AV SOLANGE NUNES DO NASCIMENTO, 316, NATAL-RN",-27.008117,-51.151598
115,CMEI PROFA MARISE PAIVA,KGAR,"AV LIMA E SILVA, 259, NATAL-RN",-27.000845,-51.144874
116,CMEI PROFA RAQUEL MARIA FILGUEIRA,KGAR,"DANTAS BARRETO, 1002, NATAL-RN",-27.211498,-49.647587
117,CMEI SÁTURNINA ALVES DE LUCENA,KGAR,", 625, NATAL-RN",-27.411274,-49.762240
118,CMEI BELCHIOR JORGE DE SÁ,KGAR,,-27.058292,-49.515778
119,CMEI DR VULPIANO CAVALCANTI DE ARAÚJO,KGAR,"RUA SEBASTIÃO GONCALVES, 77, NATAL-RN",-27.456235,-48.637212
120,CMEI EVANGELINA ELITA DE SOUSA,KGAR,"RUA DAS CRENDICES, 1001, NATAL-RN",-27.640612,-49.106926
121,CMEI MAILDE FERREIRA PINTO GALVÃO,KGAR,"JOENVILLE, 58, NATAL-RN",-27.593680,-48.561706
122,CMEI MARIA LUCILA ALVES DE CARVALHO,KGAR,"AV. MOEMA TINOCO DA CUNHA LIMA, 4021, NATAL-RN",-27.5975109,-48.5527708
